time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat,,,
5/22/2018 19:32,traces/generated/5to10threethree/0176.trace,5,5,3,3,5,"G(->(x1,G(x0)))",1.197161217,"&(X(x0),x0)",,50,1.197161217,"(50,1.19716121698729)"
5/22/2018 19:51,traces/generated/5to10threethree/0178.trace,25,25,3,3,5,"G(->(x1,G(x0)))",40.235374667,"G(->(x1,G(x0)))",,250,40.235374667,"(250,40.2353746669832)"
5/22/2018 21:58,traces/generated/5to10threethree/0180.trace,50,50,3,3,5,"G(->(x1,G(x0)))",70.797323189,"G(->(x1,G(x0)))",,500,70.797323189,"(500,70.7973231889773)"
5/22/2018 21:21,traces/generated/5to10threethree/0182.trace,75,75,3,3,5,"G(->(x1,G(x0)))",109.256657033,"G(->(x1,G(x0)))",,750,109.256657033,"(750,109.256657032994)"
5/22/2018 20:21,traces/generated/5to10threethree/0184.trace,100,100,3,3,5,"G(->(x1,G(x0)))",180.1059616469,"G(->(x1,G(x0)))",,1000,180.1059616469,"(1000,180.105961646884)"
5/22/2018 19:36,traces/generated/5to10threethree/0186.trace,125,125,3,3,5,"G(->(x1,G(x0)))",281.078060963,"G(->(x1,G(x0)))",,1250,281.078060963,"(1250,281.078060962958)"
5/22/2018 20:25,traces/generated/5to10threethree/0188.trace,150,150,3,3,5,"G(->(x1,G(x0)))",365.937690268,"G(->(x1,G(x0)))",,1500,365.937690268,"(1500,365.937690268037)"
5/22/2018 19:32,traces/generated/5to10threethree/0190.trace,175,175,3,3,5,"G(->(x1,G(x0)))",251.318998314,"G(->(x1,G(x0)))",,1750,251.318998314,"(1750,251.318998313974)"
5/22/2018 20:14,traces/generated/5to10threethree/0192.trace,200,200,3,3,5,"G(->(x1,G(x0)))",437.0607983351,"G(->(x1,G(x0)))",,2000,437.0607983351,"(2000,437.060798335121)"
5/22/2018 21:03,traces/generated/5to10threethree/0194.trace,225,225,3,3,5,"G(->(x1,G(x0)))",476.792682983,"G(->(x1,G(x0)))",,2250,476.792682983,"(2250,476.792682982981)"
5/22/2018 21:47,traces/generated/5to10threethree/0196.trace,250,250,3,3,5,"G(->(x1,G(x0)))",530.74188208,"G(->(x1,G(x0)))",,2500,530.74188208,"(2500,530.741882079979)"
5/22/2018 19:41,traces/generated/5to10threethree/0177.trace,3,5,3,3,10,"G(->(x1,G(x0)))",6.8270347151,"!(U(x0,x1))",,80,6.8270347151,"(80,6.82703471509739)"
5/22/2018 20:24,traces/generated/5to10threethree/0179.trace,6,25,3,3,10,"G(->(x1,G(x0)))",88.087967444,"G(->(x1,G(x0)))",,310,88.087967444,"(310,88.0879674439784)"
5/22/2018 21:43,traces/generated/5to10threethree/0181.trace,13,50,3,3,10,"G(->(x1,G(x0)))",173.5985244701,"G(->(x1,G(x0)))",,630,173.5985244701,"(630,173.598524470115)"
5/22/2018 20:56,traces/generated/5to10threethree/0183.trace,19,75,3,3,10,"G(->(x1,G(x0)))",267.343608524,"G(->(x1,G(x0)))",,940,267.343608524,"(940,267.343608523951)"
5/22/2018 19:52,traces/generated/5to10threethree/0185.trace,20,100,3,3,10,"G(->(x1,G(x0)))",257.423457985,"G(->(x1,G(x0)))",,1200,257.423457985,"(1200,257.423457985045)"
5/22/2018 19:27,traces/generated/5to10threethree/0187.trace,20,125,3,3,10,"G(->(x1,G(x0)))",341.52293977,"G(->(x1,G(x0)))",,1450,341.52293977,"(1450,341.522939770016)"
5/22/2018 20:04,traces/generated/5to10threethree/0189.trace,24,150,3,3,10,"G(->(x1,G(x0)))",/,/,,1740,600,"(1740,600)"
5/22/2018 19:17,traces/generated/5to10threethree/0191.trace,37,175,3,3,10,"G(->(x1,G(x0)))",/,/,,2120,600,"(2120,600)"
5/22/2018 19:41,traces/generated/5to10threethree/0193.trace,39,200,3,3,10,"G(->(x1,G(x0)))",/,/,,2390,600,"(2390,600)"
5/22/2018 20:34,traces/generated/5to10threethree/0195.trace,44,225,3,3,10,"G(->(x1,G(x0)))",/,/,,2690,600,"(2690,600)"
5/22/2018 21:27,traces/generated/5to10threethree/0197.trace,51,250,3,3,10,"G(->(x1,G(x0)))",/,/,,3010,600,"(3010,600)"
5/22/2018 22:08,traces/generated/5to10OneThree/0000.trace,5,5,2,2,5,G(!(x0)),0.925661935,G(!(x0)),,50,0.925661935,"(50,0.925661935)"
5/23/2018 0:18,traces/generated/5to10OneThree/0002.trace,25,25,2,2,5,G(!(x0)),4.723850485,!(F(x0)),,250,4.723850485,"(250,4.723850485)"
5/22/2018 19:20,traces/generated/5to10OneThree/0004.trace,50,50,2,2,5,G(!(x0)),9.049416033,G(!(x0)),,500,9.049416033,"(500,9.049416033)"
5/22/2018 20:33,traces/generated/5to10OneThree/0006.trace,75,75,2,2,5,G(!(x0)),13.88217218,G(!(x0)),,750,13.88217218,"(750,13.88217218)"
5/22/2018 19:13,traces/generated/5to10OneThree/0008.trace,100,100,2,2,5,G(!(x0)),18.06723694,G(!(x0)),,1000,18.06723694,"(1000,18.06723694)"
5/22/2018 21:01,traces/generated/5to10OneThree/0010.trace,125,125,2,2,5,G(!(x0)),23.01772135,G(!(x0)),,1250,23.01772135,"(1250,23.01772135)"
5/22/2018 19:32,traces/generated/5to10OneThree/0012.trace,150,150,2,2,5,G(!(x0)),27.58845193,!(F(x0)),,1500,27.58845193,"(1500,27.58845193)"
5/23/2018 0:42,traces/generated/5to10OneThree/0014.trace,175,175,2,2,5,G(!(x0)),32.01091172,!(F(x0)),,1750,32.01091172,"(1750,32.01091172)"
5/22/2018 22:28,traces/generated/5to10OneThree/0016.trace,200,200,2,2,5,G(!(x0)),37.4091498,!(F(x0)),,2000,37.4091498,"(2000,37.4091498)"
5/23/2018 0:49,traces/generated/5to10OneThree/0018.trace,225,225,2,2,5,G(!(x0)),41.74354436,G(!(x0)),,2250,41.74354436,"(2250,41.74354436)"
5/22/2018 23:09,traces/generated/5to10OneThree/0020.trace,250,250,2,2,5,G(!(x0)),45.70417055,G(!(x0)),,2500,45.70417055,"(2500,45.70417055)"
5/23/2018 1:05,traces/generated/5to10OneThree/0003.trace,1,25,2,2,10,G(!(x0)),7.067362176,!(F(x0)),,260,7.067362176,"(260,7.067362176)"
5/22/2018 19:51,traces/generated/5to10OneThree/0005.trace,2,50,2,2,10,G(!(x0)),13.52912098,G(!(x0)),,520,13.52912098,"(520,13.52912098)"
5/22/2018 21:12,traces/generated/5to10OneThree/0007.trace,7,75,2,2,10,G(!(x0)),21.30148176,G(!(x0)),,820,21.30148176,"(820,21.30148176)"
5/22/2018 19:36,traces/generated/5to10OneThree/0009.trace,5,100,2,2,10,G(!(x0)),27.59454412,G(!(x0)),,1050,27.59454412,"(1050,27.59454412)"
5/22/2018 22:06,traces/generated/5to10OneThree/0011.trace,8,125,2,2,10,G(!(x0)),34.68539774,G(!(x0)),,1330,34.68539774,"(1330,34.68539774)"
5/22/2018 20:12,traces/generated/5to10OneThree/0013.trace,4,150,2,2,10,G(!(x0)),40.18596201,G(!(x0)),,1540,40.18596201,"(1540,40.18596201)"
5/23/2018 1:32,traces/generated/5to10OneThree/0015.trace,10,175,2,2,10,G(!(x0)),48.15656359,G(!(x0)),,1850,48.15656359,"(1850,48.15656359)"
5/22/2018 23:27,traces/generated/5to10OneThree/0017.trace,8,200,2,2,10,G(!(x0)),54.74402815,G(!(x0)),,2080,54.74402815,"(2080,54.74402815)"
